report_id,description,nature,event,sif_label,label_source
OSHA-2019043342,An employee injured his hand while using a press brake.,"Soreness, pain, hurt-nonspecified injury",Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2015075042,An employee was installing pins on the electric hospital bed when the headboard fell on and broke his wrist. He was hospitalized overnight.,Fractures,"Struck by falling object or equipment, unspecified",YES,weak
OSHA-2020032119,"To repair a pump, an employee removed a grate from a 2-foot deep pit containing hot water which drains from a corrugated machine. The employee lost his balance and his left leg entered the water up to the calf. The employee was hospitalized with a second degree burn.",Second degree heat (thermal) burns,Fall through surface or existing opening less than 6 feet,YES,weak
OSHA-20201111055,"An employee was operating a ride-on pallet jack. The pallet jack slid on a wet floor while turning, and the employee's right foot was crushed between it and a storage rack. The employee suffered multiple fractures and crushing injuries to the foot.",Fractures,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2016021151,An employee was working on a skinner machine and amputated the whole middle finger on the left hand.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2022021078,"An employee was troubleshooting an airlock screw. The airlock's rotating blade struck the employee's right index, middle, and ring fingertips, resulting in partial amputations.",Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2024087863,"A screen enclosure on a roof was being demolished when an employee fell from the roof to the ground about 8 feet below, suffering a concussion and a brain bleed.",Cerebral and other intracranial hemorrhages without skull fracture,Other fall to lower level 6 to 30 feet,YES,weak
OSHA-20231211490,An employee was assisting a boat owner with moving/pulling the owner s boat closer to a diesel dispenser for fueling. A gust of wind pushed the boat away from the dock while the employee was tying a line to a cleat to secure the front of the boat to the dock. His thumb became caught between the line and the cleat causing an amputation to the thumb.,Amputations,Entangled in other object or equipment,YES,human
OSHA-2022098414,"On September 23, 2022, a Tyson Prepared Foods employee was disassembling a bacon-slicing machine. When the employee tried to remove residual product from the belt and hold-down roller, the machine's blade caused amputations to the employee's middle and ring fingers and an avulsion to the index finger.","Amputations, avulsions, enucleations, n.e.c.","Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2019089064,"An employee was removing excess foam by the second guide in a conveyor when the employee's left ring fingertip was caught between a machinery/door panel and the conveyor line, resulting in a fingertip amputation.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2018032843,"An employee was cleaning a screw conveyor and when he lifted a lid to clean underneath it , the conveyor pinched his left-hand fingertips. His index, middle, and ring fingertips were medically amputated. The conveyor was in motion at the time of the incident.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2020021086,"An employee was walking down stairs. She fell at the last step, breaking her lower left hip.",Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2018054582,"An employee was ripping and cutting sheeter sidings (a piece of wood) on a table saw when he attempted to flick a piece of wood out of the table saw area. His hand was then caught on the saw blade, amputating his index and ring fingers.",Amputations,Struck against moving part of machinery or equipment,YES,weak
OSHA-2018077162,"An employee fell from a ladder to the sidewalk while scraping paint from a building facade, suffering a fractured ankle and tibia.",Fractures,"Other fall to lower level, unspecified",YES,weak
OSHA-2015031285,"A maintenance employee was inspecting an oil leak on a yard truck used to pull trailers. The employee placed their body under the truck by lying on the ground. The employee asked another employee to start the truck; when the truck started, it rolled and pinned the employee between the ground and one of the truck tires. The employee was hospitalized.","Traumatic injuries and disorders, unspecified",Struck or run over by rolling powered vehicle,YES,weak
OSHA-2019087986,An employee slipped on the second step of a stairway and fell to the concrete ground. The employee was hospitalized with a concussion and a subdermal hematoma.,"Multiple intracranial injuries, n.e.c.","Other fall to lower level, unspecified",NO,weak
OSHA-2015108060,An employee was setting a die on press #745 and his right pinky finger got caught between the filler ring and the filler die vent groove. The pinched finger was surgically amputated.,Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2023109422,An employee was using a thermoforming machine that packages meat. Her left hand became caught in the machine and sustained burns and contusions. The employee was hospitalized.,"Heat (thermal) burns, unspecified",Contact with hot objects or substances,YES,weak
OSHA-20171111142,"An employee fell from a roof while cleaning gutters, suffering two broken wrists. The employee was hospitalized and required surgery.",Fractures,"Other fall to lower level, unspecified",YES,human
OSHA-2015052808,An employee fell approximately 13 feet through a roof working surface while preforming a roof replacement project.,"Traumatic injuries and disorders, unspecified",Fall through surface or existing opening 11 to 15 feet,YES,weak
OSHA-2022076590,An employee was removing a part from a vertical flow forming machine. The machine tooling pinched three of his fingers and amputated the fingertips.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2025054177,"An employee was working on the rig floor when an electrical wire was plugged into an outlet and an arc flash (600V) occurred. The employee sustained burns to his left forearm, thumb, and index finger.",Electrical burns any degree,Exposure to electric arc,YES,weak
OSHA-2025065981,An employee was walking when they slipped on a kitchen floor and sustained a fractured right femur requiring hospitalization.,Fractures,Fall on same level due to slip or trip,NO,weak
OSHA-2015020790,"On February 25, 2015, an employee suffered an amputation of his left thumb to the first knuckle while operating the RAZ machine.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20181111773,"On November 15, 2018, an employee was changing the bands on the rollers of an automated rolling line. The employee's left arm was caught in the rollers, causing compound fractures that required surgery and hospitalization. The equipment was not locked out or powered off at the time of the incident. Gloves and long sleeves were being worn.",Fractures,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2022032870,"An employee was pulling a hose through barn doors. The employee opened the doors to free the hose, but the door slammed shut again. The employee suffered an amputation to the right index fingertip.",Amputations,Struck by or caught in swinging door or gate,YES,weak
OSHA-2021010604,"An employee was troubleshooting the slide gate valve at the top of a materials silo. As the employee was reviewing the operation of the valve, the valve actuated and pinched his left thumb, resulting in a partial amputation.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-20181010127,"An employee was repairing a dump truck on the side of the road when his finger was caught in the pulley and belt of a compressor. He suffered a partial amputation of the left ring finger at the tip, after the nail.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2016010692,"On 1/25/2016, an employee was struck by a door under negative pressure while attempting to enter it. The door slammed on and fractured her hip, requiring hospitalization.",Fractures,Struck by or caught in swinging door or gate,YES,weak
OSHA-2025010326,"An employee was using a wire spool dolly to load a large spool of cable onto a wire carousel. The employee slipped and fell to the ground, suffering a fractured and dislocated ankle. The employee was hospitalized.",Fractures and soft tissue injuries,Fall on same level due to slip or trip,YES,weak
OSHA-2024065118,"An employee was being certified on the forklift. While turning, it struck a stationary order picker in front of an aisle. The employee fractured their left foot, and they were hospitalized for surgery.",Fractures,Nonroadway collision with other vehicle(s) moving and standing vehicle,YES,human
OSHA-2024032237,"On March 12, 2024, an employee was placing a pallet in front of a loading dock while operating a reach truck. When he reversed the reach truck, his left foot and left hand became caught between the truck and the back of a pallet jack, resulting in lacerations to his hand and crush injuries to his foot.",Nonfatal 'crushing' injuries,"Nonroadway collision with other vehicle(s) moving in opposite directions, oncoming",YES,weak
OSHA-2018066305,An employee was walking on a conveyor belt when his left foot went through the conveyor belt and was fractured. He was hospitalized.,Fractures,"Caught in running equipment or machinery, unspecified",YES,weak
OSHA-2022108969,"An employee was utilizing an automatic lift table stacking system. The employee manually lowered the lift table using the control panel to retrieve a broken wood board that was severed into two pieces. As the employee reached to retrieve a piece of wood, the lift table started to rise, causing the employee's right hand to become caught between the lift table and the system frame. The employee sustained a fracture to the right little finger and a laceration to the right hand.",Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20191212835,"On December 14, 2019, at approximately 1:00 PM, an employee was walking through the parking lot returning to the store after break when she was struck by a motor vehicle, fracturing her right tibia and big toe.",Fractures,"Pedestrian struck by vehicle in nonroadway area, unspecified",YES,weak
OSHA-20221210838,"A temporary employee was cleaning the remaining beef from the hopper of a beef grinder machine when their hand was caught in the blade, resulting in a dislocation of the right shoulder and right wrist fracture.",Fractures and dislocations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2017021178,"An employee was walking in the sawmill area when a powered industrial truck ran over her left foot, breaking it and requiring hospitalization.",Fractures,"Pedestrian struck by vehicle in nonroadway area, unspecified",YES,weak
OSHA-2021119825,"An employee was operating a skid forklift, which collided with another forklift. The employee sustained multiple injuries.","Traumatic injuries and disorders, unspecified","Nonroadway collision with other vehicle, unspecified",YES,weak
OSHA-2019010425,"An employee's left hand was caught between a chain and sprocket, resulting in a pinky finger amputation.",Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2016021217,"An employee was unloading a new chiller from a truck using the lift gate. While trying to get a dolly off of the truck, the chiller fell on and pinned the employee, fracturing his pelvis.",Fractures,"Struck by falling object or equipment, n.e.c.",YES,weak
OSHA-2022053830,"An employee was driving a forklift and loading pallets into a trailer. The employee leaned over to drop a receipt in the receipt box, and his foot hit the accelerator. The forklift then pinned his left leg against the wall in the loading dock area resulting in a laceration to his calf.","Cuts, lacerations",Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-20241110467,"An employee was adjusting rollers on a cart when their right ring finger was caught between the rollers' brake and tray handle, resulting in a fingertip amputation.","Amputations, avulsions, enucleations unspecified",Caught or wedged between objects nonrunning,YES,weak
OSHA-20171111198,"An employee was holding an office door open with his left hand while reaching into the office with his right hand. His left little finger was then pinched by the automatic-closing door, causing a partial amputation.",Amputations,Struck by or caught in swinging door or gate,NO,human
OSHA-2020032143,"An employee slipped on a bubble of linoleum in the floor and fell, injuring his back.","Soreness, pain, hurt-nonspecified injury",Fall on same level due to slipping,NO,weak
OSHA-2015064141,"An employee was operating an overhead crane to move steel coils. While raising the crane to remove the lifting chain, the employee had his right hand on the lifting chain. The end of the chain got stuck and started to pull the coil towards an adjacent coil. The employee's right ring and middle fingers were pinched between the coil and lifting chain. The employee required surgery.","Soreness, pain, hurt-nonspecified injury",Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-20251010389,"An employee was descending a ladder carrying a bag of trash. He fell, landed on the ground about 10 feet below, and suffered fractures to his right hip and pelvis.",Fractures,Other fall to lower level 6 to 30 feet,YES,weak
OSHA-2022076484,"A temporary employee was walking backward when they were struck by a reversing forklift. The employee was knocked down and the forklift subsequently ran over the employee's left leg, fracturing it.",Fractures,Pedestrian struck by vehicle backing up in nonroadway area,YES,weak
OSHA-2017065100,"While installing cable in an attic, an employee slipped on a joist and fell approximately 15 feet through the ceiling. The employee broke several ribs and punctured a lung, requiring hospitalization.",Internal injuries to organs and blood vessels of the trunk,Fall through surface or existing opening 11 to 15 feet,YES,weak
OSHA-2017010371,"An employee was installing a sign for a newly constructed gas station and was using a 14-foot extension ladder along with some hand tools. When he began to descend the ladder, it slid to the side. He then fell 12 feet to the ground below and injured his back, requiring hospitalization and surgery.","Soreness, pain, hurt-nonspecified injury",Other fall to lower level 11 to 15 feet,YES,weak
OSHA-2025032116,"An employee was walking across an uneven floor when they fell, resulting in a fractured leg.",Fractures,Fall on same level unspecified,NO,weak
OSHA-2022021265,"An employee was assembling parts. While lowering one part onto another using a crane, the employee's right little finger became caught between the parts, resulting in an amputation.",Amputations,Compressed or pinched by shifting objects or equipment,YES,human
OSHA-2015010136,"Employee received burns to his left index finger and portion of his left hand, while performing routine service on a plastic mold injection machine. Employees needed hospitalization at University of Rochester Strong Hospital.","Heat (thermal) burns, unspecified","Struck against object or equipment, unspecified",YES,human
OSHA-2015063555,An employee was injured when she tripped over a plastic band and fell to the floor.,"Traumatic injuries and disorders, unspecified",Fall on same level due to tripping over an object,NO,weak
OSHA-2016010489,An employee was working on a lathe when his sleeve got caught in the rotating shaft. His left arm was pulled in and broken.,Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20181212644,An employee was in the entrance area moving a cart back into place when a second employee bringing in carts from the parking lot came in and bumped the first employee from behind. The first employee fell to the floor and landed on her side. The employee's wrist and hip were broken.,Fractures,"Fall on same level, n.e.c.",NO,weak
OSHA-20201211577,"Two employees were installing the port rudder into a 58-foot marine vessel. The vessel was suspended in the hoist straps of a marine travel lift. The employees were supporting the rudder vertically under the vessel when the lift dropped the stern of the vessel approximately 12 inches. The rudder became tightly wedged between the bottom of the vessel and the gravel ground. One of the employees had their fingers crushed between the rudder and the ground. The injured employee's left index finger was amputated and the left middle finger was severely injured, but remained attached.",Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-20181212506,"An employee was exiting a roll-on/roll-off ship. While walking down the side ramp he slipped and fell, landing on the steel ramp surface an breaking his left hip.",Fractures,Fall on same level due to slipping,NO,weak
OSHA-2015107437,"An employee was loading a pallet onto a jack when the jack moved backwards, pinning the employee's right leg against a rack. The employee sustained a leg laceration.","Cuts, lacerations",Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2019010827,"An employee was cutting a 4x8 piece of laminate on a router. The laminate fell; the employee reached over, picked it up, and suffered an amputation to the right little fingertip from the router.",Amputations,Struck against moving part of machinery or equipment,YES,human
OSHA-20201212101,"An employee had setup a table saw to cut a small piece of wood. While cutting the wood, the blade of the saw caught the employee's left index finger and partially amputated it at the first knuckle.",Amputations,Struck against moving part of machinery or equipment,YES,weak
OSHA-2020021180,"On February 5, 2020, an employee was running a rewind slitting machine when his left arm was caught in between the rollers, crushing his left arm up to the elbow.",Crushing injuries,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2024010078,An employee was unloading a metal rolling cart from a truck to the loading dock when they fell off the liftgate to the ground. The employee sustained a right fourth rib fracture and displacement as well as a lung contusion.,"Closed trauma involving internal organs, major blood vessels",Other fall to lower level less than 6 feet,YES,weak
OSHA-2024087035,An employee was performing maintenance on an ice cream machine when his finger was caught in the gears. The employee sustained an amputation of their distal fingertip.,"Amputations, avulsions, enucleations unspecified","Struck by running powered equipment during maintenance, cleaning, testing",YES,weak
OSHA-2022076655,"At 1:15 a.m. on July 29, 2022, an employee was removing a ramp from the bumper of a box truck. The ramp fell on his fingers, partially amputating two of them.",Amputations,Struck by object falling from vehicle or machinery-other than vehicle part,YES,weak
OSHA-2022076191,"On July 15, 2022, a ready-mix truck driver was at a job site pouring concrete. He attached an extension chute to the primary chute (needing to force it into place because of concrete buildup) and began lowering the chutes. His right hand was caught between the two chutes, and the index fingertip was amputated.",Amputations,Struck by swinging part of powered vehicle,YES,weak
OSHA-2023098391,"An employee was transferring a heavy ammo box from a dolly to the delivery vehicle. He struck his knee cap. While re-entering the building, his knee buckled. While he was bracing for a fall, the second entry door of the receiving area closed on his left little finger removing flesh from the finger.",Amputations,"Fall on same level, n.e.c.",YES,human
OSHA-2019011100,"An employee was stepping off the shuttle bus, lost her footing and fell fracturing the right ankle.",Fractures,Other fall to lower level less than 6 feet,YES,weak
OSHA-2019043537,"An employee was servicing equipment when it started up. The employee's right index finger was caught between a fan pulley and a belt, causing an amputation to the upper part of the finger.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2024087099,"An employee was monitoring the offloading of a substructure for a drilling rig. A tandem truck driver backed up to the substructure and the employee helped set the drop-deck trailer and attach the tandem truck's bridal to the load. The employee then positioned himself on the driver's side of the truck to act as a spotter and manipulate the pop-up load rollers of the drop-deck trailer. As the load was being pulled from the trailer, the walking foot door was pulled against a load guide pin on the trailer. When that tension on the door released, it swung and struck the employee, causing him to strike another substructure component that was next to the load being offloaded. The employee was crushed between the two components and sustained injuries to their head, face, and upper torso, as well as fractured ribs.",Fractures,Contact incidents unspecified,YES,weak
OSHA-2017099140,An employee was cleaning out a column dryer when his right index fingertip was pinched and amputated between the feed rollers.,Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2016032259,An employee tripped over a small lip in the floor and fractured his humerus after striking the ground.,Fractures,Fall on same level due to tripping on uneven surface,NO,weak
OSHA-2020043198,An employee was manually shrink wrapping a pallet while walking around it. The employee tripped and fell to the floor of the loading dock. The employee sustained a broken left hip and was hospitalized.,Fractures,"Fall on same level due to tripping, unspecified",NO,weak
OSHA-2021053950,An employee was trimming excess leather from a boot on the inseam trimming machine when the workpiece slipped and his right index finger contacted the blade resulting in a partial amputation of the fingertip.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2018066432,"On June 27, at around 12:55 p.m., an employee was operating a powered pallet jack when they became pinned between the pallet jack and a bollard, suffering fractures to the left pelvis, hip, and tailbone. The employee was hospitalized.",Fractures,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2022032328,Two mechanics were working to replace bearings on a cooling rack on a mixer. The mechanics were rotating the chain around the sprocket by hand to get to the master link chain. The chain slipped and an employee's right hand was caught between the chain and the sprocket resulting in amputation of the middle fingertip.,Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2025065654,An employee had just exited a truck that had been parked at a yard. He was locking the truck's side bin when the truck's outrigger came down on his left foot and broke it. He was hospitalized.,Fractures,Struck by running powered equipment n.e.c.,YES,weak
OSHA-2025032656,"On March 20, 2025, an employee was conducting preventative maintenance and visual inspection of the chains in the bark hog waste chain area. They became caught between the bark incline chain and the sprocket while clearing a stick, resulting in amputation of their right forearm at the elbow. The machine was energized at the time.",Amputations involving bone loss,"Struck by running powered equipment during maintenance, cleaning, testing",YES,weak
OSHA-2019087959,An employee was cleaning a bean-grading machine in preparation for sanitation. The employee was opening the doors to clean the machine with a power washer when his right ring finger was caught by a roller with a solid bar. The finger was amputated at the second knuckle.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-20190910051,An employee 's left thumb was caught in a safe door as it closed. He suffered an avulsion to the thumb tip.,"Avulsions, enucleations",Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2024076663,An employee was trying to retrieve a spray can from a chicken fryer using metal tongs. The can exploded and the employee suffered burns to the left side of the body. The employee was hospitalized.,Thermal burns degree unspecified,"Explosion of pressure vessel, piping, or tire",YES,weak
OSHA-2024043685,"Employees were installing hockey glass on the east end of an arena. The injured employee was holding a piece of glass and adjusting it in place when another piece of glass was pushed toward the injured employee. His left index finger was caught between the two pieces of glass, removing the fingertip.","Amputations, avulsions, enucleations unspecified",Caught or wedged between objects nonrunning,YES,weak
OSHA-2023075954,"An employee was in the feed mill at the feed yard cleaning rocks out of the rolls on a corn flaker. While removing rocks, the equipment grabbed his glove and pulled his right hand into the pinch point, resulting in surgical amputation of the right index and middle fingers.",Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2021064824,"An employee fell from a scaffold to the ground, landing on his back. He suffered a broken neck and pelvis, as well as torn muscles. He was hospitalized.",Fractures,"Other fall to lower level, unspecified",YES,weak
OSHA-2015096349,"An employee was performing preliminary work before siding work when a guardrail gave way, causing the employee to fall from a third-story platform to the ground. The employee broke both legs.",Fractures,Other fall to lower level more than 30 feet,YES,weak
OSHA-2019099853,An employee was changing a tire. The employee's right leg was pinned and lacerated between the tire-changing machine and the automobile.,"Cuts, lacerations","Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2021042952,An employee was removing a wall brace when a telehandler tire caught the employee's jeans and pulled him down to the concrete floor. The tire then ran over the employee's left foot and crushed it.,Crushing injuries,"Pedestrian struck by vehicle in nonroadway area, unspecified",YES,weak
OSHA-2018076641,"A 5-gallon waste can overpressurized while an employee was pouring a waste liquid into it. The can exploded, injuring the employee's hand, abdomen, and chin.","Soreness, pain, hurt-nonspecified injury","Explosion of pressure vessel, piping, or tire",YES,weak
OSHA-2025099160,"An employee was at a temporary job site setting up for a conference when she slipped on soap on the floor in a room and fell onto her back, resulting in vertebral compression fractures in her lower back that required hospitalization and surgery.",Fractures,Fall on same level due to slip or trip,NO,weak
OSHA-2016053917,An employee was working on a printing press and pinched a finger resulting in a fingertip amputation.,Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2021108576,"An employee was lining up 200-pound racks on a production line. His little finger was crushed between two of the racks, resulting in an amputation.",Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2020077086,"An employee was unloading porcelain panels (5' x 10') from an A-frame storage unit. When he cut the tension straps, the panels collapsed on him resulting in fractures to both legs.",Fractures,"Struck by falling object or equipment, unspecified",YES,weak
OSHA-2015129266,"An employee tripped, fell, and fractured her hip, requiring surgery.",Fractures,"Fall on same level due to tripping, unspecified",NO,weak
OSHA-2023098471,"An employee was assembling a ripper conveyor chain. A chain consists of treads and an overhead crane is utilized to connect treads together. While placing a link in the chain assembly, a tread slipped and caught/pinched the employee s left hand/middle finger. They suffered a partial finger amputation without bone loss.",Amputations,"Contact with objects and equipment, unspecified",YES,weak
OSHA-2015042163,A 3-foot perforated pipe was being taken out of a trench for assembly. The pipe had residual methane gas that was ignited when the McElroy fusion equipment was turned on. An employee was severely burned and required hospitalization.,"Heat (thermal) burns, unspecified","Ignition of vapors, gases, or liquids",YES,human
OSHA-2017010615,An employee was setting up a chicken house to receive new chickens. She turned and slipped on a powdered pesticide coating the concrete floor. Her right leg folded under her as she fell resulting in a broken lower leg.,Fractures,Fall on same level due to slipping,NO,weak
OSHA-2019099885,"An employee was operating a chute for cattle movement. A steer reversed course and hit a cattle gate. The gate hit the employee, who then struck a secondary gate.","Traumatic injuries and disorders, unspecified",Struck by or caught in swinging door or gate,YES,weak
OSHA-20171111296,"An employee was cutting a piece of wood with a table saw when his fingertip was caught in the saw blade, amputating the tip of his right middle fingernail.",Amputations,Struck against moving part of machinery or equipment,YES,weak
OSHA-2025065368,"An employee was working on a scaffold that was three frames high. He was adjusting a post on a wall when the walk boards gave out from underneath him. He fell 18 feet to the ground floor. The employee sustained fractures to his right shoulder, rib, knee, and ankle.",Fractures,Fall to lower level from collapsing structure or equipment 6 to 30 feet,YES,weak
OSHA-2016098917,An employee fell six feet from a ladder on a wooden deck and broke his left ankle.,Fractures,Other fall to lower level 6 to 10 feet,YES,weak
OSHA-2019010433,"An employee was unloading a semi-truck into a route truck when the employee's feet became tangled in plastic wrap. The employee tripped and fell off the truck to the ground, suffering a concussion.",Concussions,"Other fall to lower level, unspecified",NO,weak
OSHA-2017054794,"The employee was performing a daily ride inspection when his left hand was caught in a sheave, amputating his middle and ring fingers to the first knuckle. As he used his right hand to free himself, the sheave injured his right hand.",Amputations,"Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-2020010761,An employee was cleaning a grader drum with compressed air. His arm was caught and injured between the drum and the equipment's frame. He was hospitalized to treat a muscle injury.,"Traumatic injuries to muscles, tendons, ligaments, joints, etc., unspecified","Caught in or compressed by equipment or objects, unspecified",YES,weak
OSHA-20191010992,"On October 21, 2019, an employee was installing the rails for solar panels on the low pitched roof of a residence. When he walked backwards to check the alignment of the rails, he fell 10 feet to the ground. He landed on his feet and suffered two broken heels, requiring hospitalization. Fall protection equipment was not worn at the time of the incident.",Fractures,Other fall to lower level 6 to 10 feet,YES,weak
OSHA-2025077328,An employee was working near molten metal and experienced heat illness symptoms including cramps. The employee was hospitalized.,"Heat exhaustion, fatigue",Exposure to environmental heat unspecified,NO,weak
OSHA-2015042045,An employee performing a cable installation at the pole using a ladder was electrocuted and fell 20 feet to the ground. The employee was working alone at the time and was responsive when emergency response transported him to the hospital.,"Traumatic injuries and disorders, unspecified",Other fall to lower level 16 to 20 feet,YES,weak
OSHA-2015074834,"An employee in the shop's face-frames department was operating a machine press that punches holes into cabinetry. As the clamping mechanism came down, it amputated her left-hand pinky finger. The employee required surgery.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2024087518,An employee was shackling cows at the shackling station when his right thumb was caught in a shackle and he sustained an amputation to the thumb tip.,"Amputations, avulsions, enucleations unspecified","Caught, entangled in running powered equipment normal operation",YES,weak
OSHA-2022065466,"At about 1:00 a.m., on June 23, 2022, an employee's right index finger was caught in a shredder. The finger was amputated at the second knuckle.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2016054311,"Employees were going to lift a 40' x 30"" x 16.5"" launch with a crane. Prior to hooking, the stack tipped over and caught an employee's lower leg, injuring the employee's left ankle and foot.","Soreness, pain, hurt-nonspecified injury","Struck by falling object or equipment, n.e.c.",YES,weak
OSHA-2016076294,An employee was departing through the front entryway when the automatic door struck the employee. The employee fell and injured their left hip requiring surgery.,"Soreness, pain, hurt-nonspecified injury","Fall on same level, n.e.c.",NO,weak
OSHA-2021032373,"An employee was operating an electrical chain hoist. As he was engaging the hoist to lift, using the pendant with his right hand and holding the hook with his left, his left index fingertip was caught between two contact points. As the chain went in, the tension amputated the fingertip.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20191011297,"An employee was operating a powered lift truck when his left foot was crushed between a bollard and the lift truck, requiring hospitalization.",Crushing injuries,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,YES,weak
OSHA-2024098211,"An employee was working on the core line when their leg became caught in the core line, resulting in a fractured leg.",Fractures,Struck by running powered equipment unspecified,YES,weak
OSHA-2017076341,An employee was cleaning the restroom and was hospitalized for dehydration.,"Effects of heat and light, n.e.c.",Exposure to environmental heat,NO,weak
OSHA-2025021374,"An employee was walking back to his truck cab when he slipped and fell on ice covered by freshly fallen snow, resulting in a torn quadricep muscle.","Major tears to muscles, tendons, ligaments",Fall on same level due to slip or trip,NO,weak
OSHA-2018010746,"On January 23, 2018, at 4:10 p.m., an employee was placing a brass valve into a water test tank on a fixture system when he inadvertently hit the back lever, causing the clamp that holds the valve in place to clamp on his left middle finger, amputating it.",Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-20221210937,"An employee was loading a 60-pound stainless steel part onto a soup kettle fixture. The part fell onto his thumb, resulting in a possible amputation.",Amputations,"Struck by falling object or equipment, unspecified",YES,weak
OSHA-2022119824,"An employee was removing meat from a packing machine when their sleeve got caught in the conveyor roller. The employee's hand and arm were pulled into the machine, resulting in a fracture to the hand and arm. The employee was hospitalized.",Fractures,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2024109423,"Two employees were harnessed to a decommissioned tower when the tower fell. One employee sustained fractured bones and the other employee sustained fractured bones, bruises/contusions/abrasions, and they lost consciousness.",Fractures,Fall to lower level from collapsing structure or equipment unspecified,YES,human
OSHA-2019044114,"An employee's hand entered a machine that had been turned off and was caught between two rotating gears, resulting in a finger amputation.",Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2019099949,An employee was struck by a motor vehicle while flagging traffic. The employee suffered a broken leg.,Fractures,"Pedestrian struck by vehicle in work zone, unspecified",YES,weak
OSHA-2019054605,An employee was using a bucket lift to work on the hull of a ship. The employee's hand was on the top of the bucket when the lift made contact with the hull of the ship and the employee's hand was caught between the bucket and the ship's hull. Two fingers were damaged and a third finger was medically amputated.,Amputations,Compressed or pinched by shifting objects or equipment,YES,weak
OSHA-2016109402,"An employee was helping to move a stick pipe. He was standing on the ground by the pipe wrangler and had his left hand on the pipe. The pipe skate was too close to the pipe so he motioned to the pipe wrangler operator to move the skate back. However, the skate moverd forward, pinching the employee's left index finger between the skate and the pipe. His left index finger was partially amputated.",Amputations,Compressed or pinched by shifting objects or equipment,YES,human
OSHA-2016065735,"An employee was checking the straps on the load on his trailer and moving empty carts in the loading area when he was struck by a forklift, breaking his right leg.",Fractures,"Pedestrian struck by vehicle in nonroadway area, unspecified",YES,weak
OSHA-20161110447,An employee was attempting to feed foam through a jammed slitter when his left thumb was caught on a roller and pulled into the blade compartment. He suffered a left thumb amputation.,Amputations,"Caught in running equipment or machinery during maintenance, cleaning",YES,weak
OSHA-2019054735,An employee was inserting small pieces of steel into an iron worker when the clamping mechanism activated and amputated a fingertip.,Amputations,Caught in running equipment or machinery during regular operation,YES,weak
OSHA-2019054969,"An employee was assisting in the laundry room when the door slammed on his right index finger, resulting in an amputation above the first knuckle.",Amputations,Struck by or caught in swinging door or gate,YES,weak
